name,cityId,date
t3027700,c5343306,2019
t3027201,c5348580,2019
t3027001,c5325622,2019
t3027101,c5341480,2019
t3023300,c5330140,2019
t3023400,c5330140,2019
t3023200,c5330140,2019
t3026910,c5315022,2019
t3027202,c5338006,2019
t3023600,c5318188,2019
t3023502,c5318188,2019
t3023903,c5318188,2019
t3023802,c5318188,2019
t3023902,c5318188,2019
t3023100,c5318188,2019
t3023801,c5318188,2019
t3023700,c5318188,2019
t3024003,c5318188,2019
t3023901,c5318188,2019
t3024004,c5318188,2019
t3024005,c5318188,2019
t3023501,c5318188,2019
t3024006,c5318188,2019
t3024802,c5354214,2019
t3024400,c5354214,2019
t3024500,c5354214,2019
t3024700,c5354214,2019
t3024901,c5354214,2019
t3024300,c5354214,2019
t3024903,c5354214,2019
t3024600,c5354214,2019
t3024902,c5354214,2019
t3024200,c5354214,2019
t3024801,c5354214,2019
t3027700,c5343306,2018
t3027201,c5348580,2018
t3027001,c5325622,2018
t3027101,c5341480,2018
t3023300,c5330140,2018
t3023400,c5330140,2018
t3023200,c5330140,2018
t3026910,c5315022,2018
t3027202,c5338006,2018
t3023600,c5318188,2018
t3023502,c5318188,2018
t3023903,c5318188,2018
t3023802,c5318188,2018
t3023902,c5318188,2018
t3023100,c5318188,2018
t3023801,c5318188,2018
t3023700,c5318188,2018
t3024003,c5318188,2018
t3023901,c5318188,2018
t3024004,c5318188,2018
t3024005,c5318188,2018
t3023501,c5318188,2018
t3024006,c5318188,2018
t3024802,c5354214,2018
t3024400,c5354214,2018
t3024500,c5354214,2018
t3024700,c5354214,2018
t3024901,c5354214,2018
t3024300,c5354214,2018
t3024903,c5354214,2018
t3024600,c5354214,2018
t3024902,c5354214,2018
t3024200,c5354214,2018
t3024801,c5354214,2018
t3027700,c5343306,2017
t3027201,c5348580,2017
t3027001,c5325622,2017
t3027101,c5341480,2017
t3023300,c5330140,2017
t3023400,c5330140,2017
t3023200,c5330140,2017
t3026910,c5315022,2017
t3027202,c5338006,2017
t3023600,c5318188,2017
t3023502,c5318188,2017
t3023903,c5318188,2017
t3023802,c5318188,2017
t3023902,c5318188,2017
t3023100,c5318188,2017
t3023801,c5318188,2017
t3023700,c5318188,2017
t3024003,c5318188,2017
t3023901,c5318188,2017
t3024004,c5318188,2017
t3024005,c5318188,2017
t3023501,c5318188,2017
t3024006,c5318188,2017
t3024802,c5354214,2017
t3024400,c5354214,2017
t3024500,c5354214,2017
t3024700,c5354214,2017
t3024901,c5354214,2017
t3024300,c5354214,2017
t3024903,c5354214,2017
t3024600,c5354214,2017
t3024902,c5354214,2017
t3024200,c5354214,2017
t3024801,c5354214,2017
t3027700,c5343306,2016
t3027201,c5348580,2016
t3027001,c5325622,2016
t3027101,c5341480,2016
t3023300,c5330140,2016
t3023400,c5330140,2016
t3023200,c5330140,2016
t3026910,c5315022,2016
t3027202,c5338006,2016
t3023600,c5318188,2016
t3023502,c5318188,2016
t3023903,c5318188,2016
t3023802,c5318188,2016
t3023902,c5318188,2016
t3023100,c5318188,2016
t3023801,c5318188,2016
t3023700,c5318188,2016
t3024003,c5318188,2016
t3023901,c5318188,2016
t3024004,c5318188,2016
t3024005,c5318188,2016
t3023501,c5318188,2016
t3024006,c5318188,2016
t3024802,c5354214,2016
t3024400,c5354214,2016
t3024500,c5354214,2016
t3024700,c5354214,2016
t3024901,c5354214,2016
t3024300,c5354214,2016
t3024903,c5354214,2016
t3024600,c5354214,2016
t3024902,c5354214,2016
t3024200,c5354214,2016
t3024801,c5354214,2016