shelterId,name,date
1,t3126100,2019
2,t3007801,2019
3,t3101300,2019
4,t3126200,2019
5,t3106900,2019
6,t3104400,2019
7,t3005902,2019
8,t3026818,2019
9,t3102900,2019
10,t3011000,2019
11,t3104400,2019
12,t3106600,2019
13,t3003300,2019
14,t3011000,2019
15,t3126200,2019
16,t3105400,2019
17,t3105400,2019
19,t3126200,2019
20,t3126200,2019
1,t3126100,2018
2,t3007801,2018
3,t3101300,2018
4,t3126200,2018
5,t3106900,2018
6,t3104400,2018
7,t3005902,2018
8,t3026818,2018
9,t3102900,2018
10,t3011000,2018
11,t3104400,2018
12,t3106600,2018
13,t3003300,2018
14,t3011000,2018
15,t3126200,2018
16,t3105400,2018
17,t3105400,2018
19,t3126200,2018
20,t3126200,2018
1,t3126100,2017
2,t3007801,2017
3,t3101300,2017
4,t3126200,2017
5,t3106900,2017
6,t3104400,2017
7,t3005902,2017
8,t3026818,2017
9,t3102900,2017
10,t3011000,2017
11,t3104400,2017
12,t3106600,2017
13,t3003300,2017
14,t3011000,2017
15,t3126200,2017
16,t3105400,2017
17,t3105400,2017
19,t3126200,2017
20,t3126200,2017
1,t3126100,2016
2,t3007801,2016
3,t3101300,2016
4,t3126200,2016
5,t3106900,2016
6,t3104400,2016
7,t3005902,2016
8,t3026818,2016
9,t3102900,2016
10,t3011000,2016
11,t3104400,2016
12,t3106600,2016
13,t3003300,2016
14,t3011000,2016
15,t3126200,2016
16,t3105400,2016
17,t3105400,2016
19,t3126200,2016
20,t3126200,2016