c.CityId,c.COUSUBNS10,c.CityFullName,n.CityId,n.COUSUBNS10,n.CityFullName
2705362014,2395935,Spring Park city,2705348580,2396081,Orono city
2705362014,2395935,Spring Park city,2705344476,2395111,Mound city
2705343306,2395352,Minnetrista city,2705360016,2395877,Shorewood city
2705343306,2395352,Minnetrista city,2705356770,2396475,St. Bonifacius city
2705343306,2395352,Minnetrista city,2705330842,2395420,Independence city
2705343306,2395352,Minnetrista city,2705344476,2395111,Mound city
2705343306,2395352,Minnetrista city,2705348580,2396081,Orono city
2705348580,2396081,Orono city,2705368818,2397235,Wayzata city
2705348580,2396081,Orono city,2705343270,2395351,Minnetonka Beach city
2705348580,2396081,Orono city,2705330842,2395420,Independence city
2705348580,2396081,Orono city,2705351730,2396242,Plymouth city
2705348580,2396081,Orono city,2705341480,2395084,Medina city
2705348580,2396081,Orono city,2705365164,2397036,Tonka Bay city
2705348580,2396081,Orono city,2705338006,2395756,Long Lake city
2705348580,2396081,Orono city,2705344476,2395111,Mound city
2705348580,2396081,Orono city,2705360016,2395877,Shorewood city
2705325622,2394988,Greenfield city,2705326990,2394288,Hanover city
2705325622,2394988,Greenfield city,2705330842,2395420,Independence city
2705325622,2394988,Greenfield city,2705341480,2395084,Medina city
2705325622,2394988,Greenfield city,2705313168,2393634,Corcoran city
2705325622,2394988,Greenfield city,2705355006,2396406,Rockford city
2705341480,2395084,Medina city,2705330842,2395420,Independence city
2705341480,2395084,Medina city,2705340166,2395838,Maple Grove city
2705341480,2395084,Medina city,2705351730,2396242,Plymouth city
2705341480,2395084,Medina city,2705313168,2393634,Corcoran city
2705341480,2395084,Medina city,2705338222,2395764,Loretto city
2705341480,2395084,Medina city,2705340256,2395841,Maple Plain city
2705330140,2394417,Hopkins city,2705318188,2394621,Edina city
2705330140,2394417,Hopkins city,2705343252,2395350,Minnetonka city
2705330140,2394417,Hopkins city,2705357220,2396500,St. Louis Park city
2705315022,2394471,Dayton city,2705340166,2395838,Maple Grove city
2705315022,2394471,Dayton city,2705355186,2396415,Rogers city
2705315022,2394471,Dayton city,2705313168,2393634,Corcoran city
2705315022,2394471,Dayton city,2705310846,2393797,Champlin city
2705318188,2394621,Edina city,2705343000,2395345,Minneapolis city
2705318188,2394621,Edina city,2705343252,2395350,Minnetonka city
2705318188,2394621,Edina city,2705318116,2394614,Eden Prairie city
2705318188,2394621,Edina city,2705357220,2396500,St. Louis Park city
2705318188,2394621,Edina city,2705306616,2394198,Bloomington city
2705318188,2394621,Edina city,2705354214,2396362,Richfield city
2705354214,2396362,Richfield city,2705343000,2395345,Minneapolis city
2705354214,2396362,Richfield city,2705306616,2394198,Bloomington city
2705341462,2395082,Medicine Lake city,2705351730,2396242,Plymouth city
2705330842,2395420,Independence city,2705313168,2393634,Corcoran city
2705330842,2395420,Independence city,2705340256,2395841,Maple Plain city
2705343000,2395345,Minneapolis city,2705354808,2396388,Robbinsdale city
2705343000,2395345,Minneapolis city,2705357220,2396500,St. Louis Park city
2705343000,2395345,Minneapolis city,2705324308,2394924,Golden Valley city
2705343000,2395345,Minneapolis city,2705356680,2396471,St. Anthony city
2705343000,2395345,Minneapolis city,2705307948,2393428,Brooklyn Center city
2705355186,2396415,Rogers city,2705340166,2395838,Maple Grove city
2705355186,2396415,Rogers city,2705313168,2393634,Corcoran city
2705314158,2393683,Crystal city,2705307966,2393429,Brooklyn Park city
2705314158,2393683,Crystal city,2705324308,2394924,Golden Valley city
2705314158,2393683,Crystal city,2705307948,2393428,Brooklyn Center city
2705314158,2393683,Crystal city,2705354808,2396388,Robbinsdale city
2705314158,2393683,Crystal city,2705345628,2395201,New Hope city
2705344476,2395111,Mound city,2705360016,2395877,Shorewood city
2705368818,2397235,Wayzata city,2705360016,2395877,Shorewood city
2705368818,2397235,Wayzata city,2705351730,2396242,Plymouth city
2705368818,2397235,Wayzata city,2705343252,2395350,Minnetonka city
2705310918,2393799,Chanhassen city,2705343252,2395350,Minnetonka city
2705310918,2393799,Chanhassen city,2705318116,2394614,Eden Prairie city
2705310918,2393799,Chanhassen city,2705360016,2395877,Shorewood city
2705365164,2397036,Tonka Bay city,2705360016,2395877,Shorewood city
2705306616,2394198,Bloomington city,2705318116,2394614,Eden Prairie city
2705325918,2394245,Greenwood city,2705360016,2395877,Shorewood city
2705325918,2394245,Greenwood city,2705315148,2394486,Deephaven city
2705325918,2394245,Greenwood city,2705320078,2394717,Excelsior city
2705343252,2395350,Minnetonka city,2705315148,2394486,Deephaven city
2705343252,2395350,Minnetonka city,2705360016,2395877,Shorewood city
2705343252,2395350,Minnetonka city,2705351730,2396242,Plymouth city
2705343252,2395350,Minnetonka city,2705318116,2394614,Eden Prairie city
2705343252,2395350,Minnetonka city,2705371500,2397370,Woodland city
2705343252,2395350,Minnetonka city,2705357220,2396500,St. Louis Park city
2705313168,2393634,Corcoran city,2705340166,2395838,Maple Grove city
2705360016,2395877,Shorewood city,2705320078,2394717,Excelsior city
2705360016,2395877,Shorewood city,2705371500,2397370,Woodland city
2705360016,2395877,Shorewood city,2705315148,2394486,Deephaven city
2705345628,2395201,New Hope city,2705340166,2395838,Maple Grove city
2705345628,2395201,New Hope city,2705307966,2393429,Brooklyn Park city
2705345628,2395201,New Hope city,2705324308,2394924,Golden Valley city
2705345628,2395201,New Hope city,2705351730,2396242,Plymouth city
2705315148,2394486,Deephaven city,2705371500,2397370,Woodland city
2705307948,2393428,Brooklyn Center city,2705354808,2396388,Robbinsdale city
2705307948,2393428,Brooklyn Center city,2705307966,2393429,Brooklyn Park city
2705349012,2396098,Osseo city,2705340166,2395838,Maple Grove city
2705349012,2396098,Osseo city,2705307966,2393429,Brooklyn Park city
2705307966,2393429,Brooklyn Park city,2705340166,2395838,Maple Grove city
2705307966,2393429,Brooklyn Park city,2705351730,2396242,Plymouth city
2705307966,2393429,Brooklyn Park city,2705310846,2393797,Champlin city
2705351730,2396242,Plymouth city,2705340166,2395838,Maple Grove city
2705351730,2396242,Plymouth city,2705324308,2394924,Golden Valley city
2705351730,2396242,Plymouth city,2705357220,2396500,St. Louis Park city
2705357220,2396500,St. Louis Park city,2705324308,2394924,Golden Valley city
2705310846,2393797,Champlin city,2705340166,2395838,Maple Grove city
2705354808,2396388,Robbinsdale city,2705324308,2394924,Golden Valley city